run,max_training_bytes,phrase_mode,phrase_length,phrase_lengths,stride,max_regions,max_middle_variants,max_suffix_variants,original_bits,cube_size_bits,cube_size_bytes,metadata_size,selected_phrases_by_length,regions_by_length,average_emitted_bits_per_route,route_coverage_fraction,cube_actual_bits,cube_fixed_length_optimized_bits,cube_entropy_whole_route_bits,cube_entropy_factorized_bits,cube_family_local_id_bits,cube_oracle_region_local_bits,target_baseline,target_baseline_bits,best_cube_mode,best_cube_bits,best_cube_minus_target,geometry_verdict,cube_fixed_length_actual_bits,cube_family_local_id_actual_bits,cube_entropy_coded_actual_bits,best_real_cube_mode,best_real_cube_minus_target_bits,descriptor_redesign_verdict,long_phrase_verdict,scaling_verdict,decode_ok
run_000,2000,variable,256,"[64, 128, 192, 256]",32,128,8,8,2560,41152,5144,180,"{'64': 79, '128': 78, '192': 69, '256': 53}","{'64': 76, '128': 74, '192': 67, '256': 52}",182.85714285714286,1.0,322.0,196.0,63.30296890880646,63.30296890880646,70.0,63.30296890880646,zlib,1904.0,cube_entropy_estimated.whole_route,63.30296890880646,-1840.6970310911936,geometry_promising,296,240,856,cube_family_local_id_actual,-1664.0,descriptor_redesign_succeeds,long_phrases_promising,scaling_promising,True
run_001,2000,variable,256,"[64, 128, 192, 256]",32,256,8,8,2560,41152,5144,180,"{'64': 79, '128': 78, '192': 69, '256': 53}","{'64': 76, '128': 74, '192': 67, '256': 52}",182.85714285714286,1.0,322.0,196.0,63.30296890880646,63.30296890880646,70.0,63.30296890880646,zlib,1904.0,cube_entropy_estimated.whole_route,63.30296890880646,-1840.6970310911936,geometry_promising,296,240,856,cube_family_local_id_actual,-1664.0,descriptor_redesign_fails,long_phrases_marginal,scaling_promising,True
run_002,5000,variable,256,"[64, 128, 192, 256]",32,128,8,8,2560,41152,5144,180,"{'64': 79, '128': 78, '192': 69, '256': 53}","{'64': 76, '128': 74, '192': 67, '256': 52}",182.85714285714286,1.0,322.0,196.0,63.30296890880646,63.30296890880646,70.0,63.30296890880646,zlib,1904.0,cube_entropy_estimated.whole_route,63.30296890880646,-1840.6970310911936,geometry_promising,296,240,856,cube_family_local_id_actual,-1664.0,descriptor_redesign_succeeds,long_phrases_promising,scaling_promising,True
run_003,5000,variable,256,"[64, 128, 192, 256]",32,256,8,8,2560,41152,5144,180,"{'64': 79, '128': 78, '192': 69, '256': 53}","{'64': 76, '128': 74, '192': 67, '256': 52}",182.85714285714286,1.0,322.0,196.0,63.30296890880646,63.30296890880646,70.0,63.30296890880646,zlib,1904.0,cube_entropy_estimated.whole_route,63.30296890880646,-1840.6970310911936,geometry_promising,296,240,856,cube_family_local_id_actual,-1664.0,descriptor_redesign_fails,long_phrases_marginal,scaling_promising,True
